ka'i	día	
jekechi	nuevo	
jekechitü	nueva	
ajutalaa	abrir	
ojutalaa	abrir	
o'uta	pestaña	
oora	hora	
e'raa	ver	
ayaakua, o'uyaakua	imagen, fotografía	
anaajawaa	guardar	
pentaana, wentaana	ventana	
e'rajawaa	mirar, observar, examinar	
aneukaa	elegir	
wane'eya	otro, otra	
aluwatawaa, ajütaa	enviar	
anüiki	idioma	
ayolojo	apariencia	
aja'apüinwaa	tamaño
anülia	nombre	
oo'ulawaa	dejar, abandonar, permitir	
nnojo	no
meinshi, weinshi	siempre	
asakiraa	preguntar	
joolu'u	ahora, pronto	
o'unaa	ir	
aka	con (instrumento)	
kerawaa	estar terminado, -da; estar acabado, -da; estar listo, -ta. V. ekeraajaa.	
ounjulaa, anujulaa	esconder	
amotoloo	ocultar
aapajaa	escuchar	
ashakatiraa	descargas	
alü'üjaa	llevar, cargar, traer	
ajutu, ojutu n.pos	valor	
aapawaa	tomar, coger. aceptar	
ekeraajaa	terminar, cumplir	
oo'omüin	más	
atüjaa	saber
waneepiaa	completo

